Name,Category,Phone,Address,City,Zipcode,Website,AdditionalInfo
Children's Home Society of Washington - North Seattle Family Center,Clothing Assistance,(206) 364-7930,3200 NE 125th St Suite 2,Seattle,98125,http://www.chs-wa.org,"Provides food bags, children's and maternity clothing, diapers. DSHS and Help for Working Families representatives on-site. Serves residents of North Seattle."
Center for Human Services,Clothing Assistance,(206) 362-7282,17018 15th Ave NE,Shoreline,98155,http://www.chs-nw.org,"Shoreline Family Support Center. Provides information and referral. Operates a children's clothing exchange, and provides limited numbers of food bags for Shoreline families in need."
Center for Empowerment,Food Assistance,(206) 722-7310,7930 Rainier Ave S,Seattle,98118,http://www.centerforempowerment.org,Provides food weekly in Rainier Valley. Works to offer food consistent with the diets of an ethnically diverse area. Offers some clothing.
Capitol Hill Community Resource Center,Clothing Assistance,(206) 322-4567,509 10th Ave E,Seattle,98102,http://www.chcrc.org,"Offers a variety of clothing for men, women, and children. May have hygiene items and household goods. Tuesdays and Thursdays 1:00pm - 4:00pm"
Buck and Buck,Clothing Assistance,(206) 722-4196,3111 27th Ave S,Seattle,98144,http://www.buckandbuck.com,"Provides low-cost clothing for nursing home residents, older adults, and individuals living with disabilities by catalogs, online, phone, and nursing homes. Payment options: Low-Cost/Sliding-Scale/Negotiable"
Bread of Life Mission,Clothing Assistance,(206) 682-3579,97 South Main St,Seattle,98194,http://www.breadoflifemission.org,"Provides free men's clothing to anyone in need, Tuesday Through Friday 1:30pm - 2:30pm"
Black Diamond Community Center,Clothing Assistance,(360) 886-1011,"31605 3rd Ave, Hwy 169",Black Diamond,98010-,,"Offers clothing, emergency food, motel vouchers, rent, move-in and utility help. Also serves: Covington and Lake Meridian."
Ballard Food Bank,Clothing Assistance,(206) 789-7800,7001 24th Ave NW,Seattle,98117,http://www.ballardfoodbank.org,"Provides clothing and hygiene items for anyone in need, Tuesday, Wednesday, and Thursday 11:00am - 2:45pm"
Archdiocesan Housing Authority - Lazarus Center,Clothing Assistance,(206) 623-7219,416 2nd Ave Ext S,Seattle,98104,http://www.ccsww.org/lazarus/index.php,Distributes free clothing when volunteers are available; please call to verify hours.
Union Gospel Mission (Seattle),Clothing Assistance,(206) 622-5177,318 2nd Ave,Seattle,98104,,Clothing assistance
Goodwill Industries (Seattle),Clothing Assistance,(206) 860-5731,1400 South Lane St.,Seattle,98144,http://www.seattlegoodwill.org,Clothing assistance
Renton Clothes Bank,Clothing Assistance,(425) 204-2325,1025 S 3rd St - Suite A,Renton,98055,,"Provides free used clothing to infants, children and adults. Clients can visit once every 30 days. A referral is required."
The City Ministries - City Colors,Clothing Assistance,(425) 803-2363,9051 132nd Ave NE,Kirkland,98033,http://www.thecity.org,Provides low-cost clothing to general public and free clothing to those in need who are referred by a social service provider.
St. Vincent De Paul (Seattle),Clothing Assistance,(206) 767-6449,5950 4th Ave S.,Seattle,98108,,Assistance with clothing
St. Francis House,Clothing Assistance,(206) 621-0945,169 12th Ave S.,Seattle,98122,,Clothing assistance
St. Thomas Catholic Church - Outreach,Clothing Assistance,(206) 242-5501,4415 S 140th St,Tukwila,98168,,Operates clothing bank for people in Tukwila and North SeaTac. Limited linens and bedding available. Open 2:00pm - 3:00pm
DSHS - Division of Vocational Rehabilitation - Kent,Vocational Rehabilitation Services,(253) 372-3940,1000 Central Ave S,Kent,98032,www.dshs.wa.gov,"Provides vocational rehabilitation services to individuals with disabilities including assessment, counseling, job preparation/placement, support services."
DVR - SeaTac,Vocational Rehabilitation Services,(206) 444-3800,18000 International Boul Suite 1000,SeaTac,981,,"DVR helps individuals find and use available resources, including resources needed to support an individual attending a training program, such as books, supplies, equipment, transportation, child care, etc. Job placement and retention service"
DSHS - Auburn,Government Assistance,(253) 804-1159,2707 "I" St. NE,Auburn,980,www.wa.gov/dshs,"Mailing address: PO BOX 34362 Seattle, WA 98124-9805 MS: N72-1. If you are applying for cash or food assistance you can: Make an appointment to be interviewed by calling 253-804-1159 or If you bring your application to the office any working day before"
DSHS - Ballard,Government Assistance,(206) 341-7424,"907 NW Ballard Way, 1st Floor",Seattle,981,www.dshs.wa.gov,"Mailing address: PO Box 34356 SEATTLE, WA 98124 MS: N42-1. If you are applying for cash or food assistance you can: Make an appointment to be interviewed by calling 206-341-7424 or If you bring your application to the office any working day before 8:00"
DSHS - Belltown,Government Assistance,(206) 341-7427,2106 2nd Ave.,Seattle,981,www.wa.gov/dshs,"Mailing address: 2106 2nd Ave. Seattle, WA 98121-2298 MS: N47-1. If you are applying for cash or food assistance you can: Make an appointment to be interviewed by calling 206-341-7427 or If you bring your application to the office any working day before"
DSHS - Department of Vocational Rehabilitation,Vocational Rehabilitation Services,(206) 720-3200,3600 S. Graham St.,Seattle,9811,www.dshs.wa.gov,Assistance for people with disabilities to find appropriate employment
DSHS - Division of Vocational Rehabilitation - Northgate,Vocational Rehabilitation,(206) 440-2230,12063 15th Ave NE,Seattle,98125,http://www.dshs.wa.gov,"Provides vocational rehabilitation services to individuals with disabilities including assessment, counseling, job preparation/placement, support services."
DSHS - Division of Vocational Rehabilitation - SeaTac,Vocational Rehabilitation,(206) 439-3703,18000 International Blvd Suite 1000,SeaTac,98188,http://www.dshs.wa.gov,"Provides vocational rehabilitation services to individuals with disabilities including assessment, counseling, job preparation/placement, support services."
DSHS - Division of Vocational Rehabilitation - Seattle,Vocational Rehabilitation,(206) 273-7100,400 Mercer St Suite #508,Seattle,98109,http://www.dshs.wa.gov,"Provides vocational rehabilitation services to individuals with disabilities including assessment, counseling, job preparation/placement, support services."
DSHS - Renton,,(206) 341-7434,"500 SW 7th St., Suite B",Renton,98057,http://www.dshs.wa.gov,"Mailing address: P.O. BOX 34358 Seattle, WA 98124 MS: N80-1. Provides assistance for cash or food applications."
DVR - Renton,Job Placement and Retention Service,(206) 205-3500,"1107 SW Grady Way, Suite 200",Renton,98057,,"Helps individuals find and use available resources, including resources needed for training programs."
DSHS - Capitol Hill,,(206) 341-7431,1700 E. Cherry St.,Seattle,98122,http://www.wa.gov/dshs,Provides assistance for cash or food applications.
DSHS - Federal Way,,(253) 341-7426,616 S 348th St,Federal Way,,http://www.wa.gov/dshs,"Mailing Address: P O Box 34352 MS: N45-1 Seattle, WA 98124. Provides assistance for cash or food applications."
DVR - Kent,Job Placement and Retention Service,(253) 372-3940,1000 Central Ave. South N43-7,Kent,98032,,"Helps individuals find and use available resources, including resources needed for training programs."
DVR - Seattle (Mercer St.),Job Placement and Retention Service,(206) 273-7100,"400 Mercer St, Suite 508",Seattle,98109,,"Helps individuals find and use available resources, including resources needed for training programs."
DSHS - White Center,,(206) 341-7430,9650 15th Ave SW,Seattle,98106,http://www.dshs.wa.gov,"Mailing address: PO Box 34359 Seattle, WA 98124-9532 MS: N44-. Provides assistance for cash or food applications."
DVR - North Seattle,Job Placement and Retention Service,(206) 440-2230,12063 15th Ave. NE,Seattle,98125,,"Helps individuals find and use available resources, including resources needed for training programs."
DSHS - Rainier,,(206) 341-7429,3600 S. Graham St.,Seattle,98118,http://www.wa.gov/dshs,Provides assistance for cash or food applications.
DSHS - King South (Kent area),,(206) 341-7428,"1313 W. Meeker St., Suite 100",Kent,98032,http://www.wa.gov/dshs,"Mailing Address: PO Box 34361 M/S N1 Seattle, WA 98124-1361. Provides assistance for cash or food applications."
DSHS - King North,,(206) 341-7424,Ballard,Seattle,98107,http://www.dshs.wa.gov,Contact office for food stamp information and eligibility requirements.
DSHS - King Eastside,,(206) 341-7404,805 156th Ave NE,Bellevue,98007,http://www.dshs.wa.gov,"Mailing address: 805 156th Ave NE Bellevue, WA 98007-4614 MS: N40-1. Provides assistance for cash or food applications."
DVR - Bellvue,Job Placement and Retention Service,(425) 590-3115,805 156th Ave NE,Bellevue,98007,,"Helps individuals find and use available resources, including resources needed for training programs."
Pima Medical Institute - Seattle,,(206) 9709,Third Avenue NE,Seattle,98115,http://www.pmi.edu/locations/seattle.asp,"Main Campus: 3350 East Grant Road, Suite 200 Tucson, AZ 85716. Programs Available: Dental Assisting, Medical Assistant, Medical Laboratory Technologies."
Pacific Northwest Ironworkers Employers & Apprenticeship Training,Apprenticeship Programs,(206) 244-2993,4550 South 134th Place,Tukwila,98168,http://www.local86.org/Apprenticeship.s,Apprenticeship Program: Ironworker Apprenticeship.
Training Associates Pacific,,(360) 275-6701,381 NE Tiger Way East,Belfair,98528,http://www.tap-trainingassociatespacific,Offers assistance to obtain employment training through local community and technical college or through on-the-job training.
Pima Medical Institute - Renton,,(425) 555,South Renton Village,Renton,98055,http://www.pmi.edu/locations/renton.asp,"Programs Available: Dental Assisting, Medical Assistant, Medical Laboratory Technologies, Medical Secretary, Pharmacy Technician."
Nursing Assistant Training Institute,,(206) 417-2600,15019 Aurora Avenue No,Shoreline,98133,http://www.natraining.net,Offers various nursing assistant training programs.
"Post-Prison Education Program, Inc.",,(206) 910-4332,810 Third Avenue – Suite,Seattle,98104,http://www.postprisonedu.org/home.html,Provides advocacy and support for returnees transitioning to college after prison.
RCH Technical Institute,,,500 SW 7th Street,Renton,98057,,Title IV Code: 017131
Renton Beauty School,,(425) 251-8882,2828 Sunset Ln. NE,Renton,98056,http://rentonbeautyschool.com/,Title IV Code: 013929
Renton Technical College,,(425) 235-2352,3000 NE 4th St,Renton,98056,http://www.rtc.edu,Title IV Code: 014001. Offers financial assistance for tuition and books for students.
Seattle Bible College,,(425) 212-3530,"11625 Airport Road, Suit",Everett,98204,http://www.seattlebiblecollege.edu,"Programs Offered: Ministry, Religious Studies."
Northwest School of Massage,,(866) 713-1212,12618 NE 85th Street,Kirkland,98033,http://www.nwschoolofmassage.com,Offers Massage Therapy program.
Seattle Central Community College,,(206) 587-3800,1701 Broadway,Seattle,98122,http://seattlecentral.edu,Title IV Code: 003787. Offers career planning resources and support services for women.
Seattle Education Access,,(206) 683-5536,5516 Roosevelt Way NE,Seattle,98105,http://www.seattleeducationaccess.org,"Provides support for high school/GED completion, college coaching, and advocacy for low-income individuals."
Seattle Gaming Academy,,(206) 781-8700,"115 North 85th Street, #2",Seattle,98103,http://www.seattlegamingacademy.com,Offers programs in Casino and Gaming Operations.
Roger Moore's Institute of Hypnotherapy,,(206) 903-1232,"509 Olive Way, Suite 401",Seattle,98101,http://www.rogermooreinstitute.com,Offers various Hypnotherapy and Alternative Treatments programs.
North American Institute of Neuro-Therapy,,(206) 322-0633,"117 East Louisa, #188",Seattle,98102,http://www.TherapyoftheFuture.com,Offers NEURO-THERAPY Specialist-Clinical Hypnotherapist program.
University of Washington - DO-IT,Disabilities Opportunities,(206) 685-3647,3737 Brooklyn,Seattle,9810,,DO-IT PALS Program: Recruits middle and high schools students with disabilities who want to explore careers and college opportunities by using the Internet and computers. DO-IT Scholar's Program: Recruits high school students with disabilities.
Seattle Institute of Oriental Medicine,Acupuncture and Oriental Medicine,(206) 517-4541,"916 NE 65th Street, Suite",Seattle,981,http://www.siom.edu,Acupuncture and Oriental Medicine [MAcOM]
"Montessori Plus School, Inc./Montessori Teacher Preparation",Early Childhood Education Paraprofessional,(253) 859-2262,23807 - 98th Avenue Sou,Kent,98031,http://www.montessoriplus.org,"Montessori Teacher Preparation (2-1/2 to six) onsite [Cert], Videotape Elementary Training (ages six to nine) [Cert], Videotape Training (ages birth to three) [Cert], Videotape Training (ages three to six) [Cert]"
Multi-Service Center - Federal Way,Individual Development Account Program,(253) 838-6810,1200 S 336th St,Federal Way,W,http://www.multi-servicecenter.com/,"Manages individual development accounts with matching funds for education, home-buying, or starting a small business; low-income; classes required."
New Beginnings Beauty College,Cosmetology,(253) 939-2480,435 East Main,Auburn,98,,Cosmetology [Dipl]
TLG Learning Admissions,,(425) 12822,"SE 32nd Street, Su",Bellevue,9,http://www.nhbellevue.com,"Programs Available - Computer Applications, Microsoft Office User Specialist [Cert], Computer Network Technology, CISCO Network Certification Program [Cert], CompTIA Certified Professional A+, Network + Certificate [Cert], Microsoft Certified Systems Admini"
New York Fashion Academy,Apparel Design,(206) 352-2636,5201 Ballard Avenue N,Seattle,981,http://www.newyorkfashionacademy.co,Fashion Design and Construction [Cert]
Northwest Academy of Healing Arts,,(800) 929-9441,"720 South 333rd Street, S",Federal Way,W,http://www.nwsm.net,Call for information
North Seattle Community College,,(206) 527-3663,9600 College Way North,Seattle,9810,http://www.northseattle.edu,"Title IV Code: 009704, Career Link Academy North: Offers career planning, job skills training, and job placement for out-of-school youth ages 16 - 20. Women's Center: Offers counseling, lecture series, support groups, information and referr"
Northshore Dental Assisting Academy,Dental Assisting,(425) 408-9400,"6610 NE 181st Street, Sui",Kenmore,9,http://www.northshoredentalacademy.co,Dental Assisting [Cert]
Northwest Art Center,,(425) 788-5900,15515 Main Street NE,Duvsall,980,http://www.northwestartcenter.com,Call for information
Northwest Aviation College,Aircraft Pilot,(253) 854-4960,506 - 23rd Avenue NE,Auburn,98,http://www.northwestaviationcollege.edu,"Aviation Flight Technology [Assoc], Commercial Pilot [Cert], Instrument Pilot [Cert], Multi-Engine Instructor [Cert], Private Pilot [Cert], Professional Pilot I [Cert], Professional Pilot II [Cert], Professional Pilot III [Cert]"
Northwest University,,(425) 822-8266,PO Box 579 / 5520 - 108t,Kirkland,98,http://www.northwestu.edu/,Title IV Code: 003783
Northwest School of Animal Massage,Animal Care and Training,(425) 222-3703,PO Box 670,Fall City,9,http://www.nwsam.com,"Large Animal Onsite Massage Course [Cert], Level 100: Large Animal Maintenance and Massage [Cert], Level 100: Small Animal Maintenance and Massage [Cert], Small Animal Onsite Massage Course [Cert]"
Montessori Education Institute of the Pacific Northwest,,(425) 486-5092,13965 NE 166th Street,Woodinville,W,http://www.meipn.org,"Programs Available - Early Childhood Education, Early Childhood Education--Montessori Teacher Preparation [Cert], Elementary Education, Elementary Education 1--Montessori Teacher Preparation [Cert], Elementary Education 2--Montessori Teacher Preparation [C"
South Seattle Community College,,(206) 764-5300 /,6000 16th Ave SW,Seattle,9810,http://www.southseattle.edu,"Information: Apprenticeship Programs, Automotive Collision Repair, Commercial Driver Training Program"
Oil Heat Service and Repair Technical School,"Heating, Refrigeration, and Air Conditioning Maintenance",(360) 443-6696,18850 - 103rd Avenue S,Vashon,98,http://www.pnwoilheat.com/service-scho,
Bellevue Montessori School,Early Childhood Education Paraprofessional,(425) 454-7439,2411 - 112th Avenue NE,Bellevue,9,http://www.bellmontessori.org,Pre-Elementary Education (ages 2 1/2 to six) [Cert]
Vuu Beauty School,,(206) 340-2655,807 South King Street,Seattle,981,,"Programs Available - Barbering, Barber/Haircutting [Cert], Cosmetology [Cert], Esthetician [Cert], Instructor Trainee Course [Cert], Manicure Course [Cert]"
University of Washington - Women's Center,,(206) 685-1090,University of Washington Cunningham Hal,Seattle,9819,,"Edith Langley Memorial Scholarship: Awards an annual nursing scholarship for $250.00 to financially needy nursing students in western Washington. Information and Referral: Information and referral for community services, support group listin"
University of Washington - Office of Minority Affairs,,(206) 543-7132,1400 NE Campus Pkwy 373 Schmitz Hal,Seattle,9819,,"Provides educational opportunities for underrepresented students and the economically and educationally disadvantaged; includes tutoring, counseling, et cetera."
University of Washington - Bothell Campus,,(425) 352-5000,18115 Campus Way NE,Bothell,980,http://www.uwb.edu/,"Programs offered - Business Administration, Business Administration [BA], Master in Business Administration [MBA], Computer Science, Computing and Software Systems [BS], Elementary Education, K-8 Elementary Teacher Certification [Cert], Environmental Scienc"
University of Phoenix - Washington Campuses,,(206) 268-5800,"7100 Fort Dent Way, Suit",Seattle,981,http://www.phoenix.edu,"Also: Bellevue, Renton, Mountlake Terrace, Olympic College, Tacoma. Central Administration: 4635 East Elwood Street PO Box 52076 Phoenix, AZ 85072-2076 (480) 966-7400 or (480) 228-7240. Programs Offered - Accounting (4- or 5-year Program), Business-"
United Montessori Association,Early Childhood Education Paraprofessional,(206) 441-4337,"2801 - 1st Avenue, #1205",Seattle,981,http://www.unitedmontessori.com,"Programs Available - Early Childhood Education Paraprofessional, Montessori Teacher Certification Program [Cert], Special Education, Montessori Teacher Certification Program [Cert]"
Trinity Lutheran College,,(425) 249-4800,4221 - 228th Avenue SE,Issaquah,98,http://www.tlc.edu,"Programs Offered - Church Music, Music and Worship [Cert, BA], Communications, Applied Communication [BA], Ministry, Associate in Ministry-- Academic Curriculum for ELCA [Assoc], Youth and Family Ministry [BA, Cert], Missionary Service, Multi-Cultural Studi"
TL SEA Diving,Diving Technology,(206) 824-4100,23405 Pacific Highway S,Des Moines,WA,http://www.tlsea.com,"PADI Assistant Instructor [Cert], PADI Open Water Instructor [Cert], PADI Staff Instructor [Cert]"
The Reiki Training Program,Hypnotherapy and Alternative Treatments,(206) 523-8999,7812 Lake City Way NE,Seattle,981,http://www.reikitrainingprogram.com,"Certified Reiki Master [Cert], Registered Reiki Practitioner [Cert]"
The Euro Institute of Skin Care,Cosmetology,(425) 255-8100,10904 SE 176th Street,Renton,980,http://www.euroinstitute.com,Esthetician Licensing Program [Dipl]
Tahoma School District,,(425) 413-6200,25720 Maple Valley Blac,Maple Valley,W,,Operates a career center for district students; integrates career concepts into the curriculum.
University of Washington,,(206) 543-2100,BOX 355880 407 Gerberding,Seattle,981,http://www.washington.edu,"Title IV Code: 003798, Programs offered - Accounting (4- or 5-year Program), Business Administration--Accounting [BA, MPA], Aerospace/Aeronautical Engineering, Aeronautics and Astronautics [BS, MAEng, MSAA, PhD], Aircraft Composite Materials and Manufactu"
Seattle Vocational Institute,WorkFirst Tuition Assistance Program,(206) 587-4950,2120 S Jackson St,Seattle,9814,http://sviweb.sccd.ctc.edu,"Provides funding for low-income parents to receive training in any of Professional/Technical Programs, Pre-Employment training, and any basic skills courses. Programs Offered - Administrative Assistant/Secretarial"
Seattle Midwifery School,Midwifery,(206) 322-8834,"4000 NE 41st Street, Bld Suite 3",Seattle,981,http://www.seattlemidwifery.org,Midwifery [Cert]
Seattle Pacific University,,(206) 281-2000,3307 Third Avenue West,Seattle,981,http://www.spu.edu/,"Title IV Code: 003788, Programs offered - Accounting (4- or 5-year Program), Accounting [BA], Apparel Design, Textiles, Clothing, and Interiors--Apparel Design [BA], Art, Art [BA], Arts--Studio Arts Emphasis [BA], Biochemistry, Biochemistry [BS], Bioengin"
Seattle Public Schools - District Office,Education,(206) 365-2234,2445 3rd Ave S,Seattle,9813,,Provides advice for parents of African American children in Seattle Public Schools on questions regarding standardized tests and discipline concerns.
Seattle Public Schools - School to Work Program/Career Center,Education,(206) 252-0730,2445 3rd Ave S,Seattle,9813,,"Offers career planning, job search training, and job referral services for all Seattle Public Schools high school students and parents/guardians."
Seattle Public Schools - Seattle Alternative Secondary Programs - John,Education,(206) 252-4700,520 NE Ravenna,Seattle,9811,,"School Preparation Program: Offers individualized instruction, career counseling, and practice testing."
"Strategy Computers, Inc.",Technology,(425) 643-4849,2475 - 140th Avenue NE Suite C-100,Bellevue,9,http://www.strategycomputers.com,"Programs Available: Business Computer Science, Microsoft Certified Application Developer for .NET, Microsoft Certified Professional, Microsoft Certified Solutions Developer for .NET, Microsoft Certified Systems Associate"
Seattle University - Eastside Education Center,Education,(425) 451-0200,1450 - 114th Av,Bellevue,9,http://www.seattleu.edu,"Programs Offered: Accounting, Business Administration--Accounting, Professional Accounting, Anthropology, Cultural Anthropology, Applied Mathematics, Mathematics--Applied Mathematic"
Spring Valley Montessori School,Education,(253) 927-2557,36605 Pacific Highway S,Federal Way,W,http://www.springvalley.org,"Programs Available: Early Childhood Education Paraprofessional, Elementary Teacher Education (Montessori Method), Special Education Early Childhood Education (Montessori Method)"
Shoreline Community College,Education,(206) 546-4101,16101 Greenwood Ave N,Shoreline,9,http://www.shoreline.edu/,"Title IV Code: 003791. Advising and Counseling Center provides career counseling, career and life planning class, job reference guides, and labor market information. Career and Employment Services offers career planning and job search assistance."
Shoreline Community College - Lake Forest Park,Education,(206) 533-6700,17171 Bothell Way NE,Lake Forest Park,,http://www.shoreline.edu/ce/,"Programs Offered: Business Management, Computer and Information Systems Security, Computer Programming"
Simply Couture Beauty College,Beauty and Cosmetology,(206) 852-3017,1222 Bronson Way North,Renton,980,,"Programs Available: Barbering, Cosmetology, Esthetician, Instructor, Nails Technician"
Solid Ground - Housing Counseling and Homelessness Prevention,Housing Assistance,(206) 694-6700,1501 N 45th St,Seattle,9810,,"Individual Development Account Program: Manages individual development accounts with matching funds for education, home-buying, or starting a small business; low-income; classes required."
Soundtraining.net,IT Training,(206) 988-5858,Box 1321,Seahurst,98,http://www.soundtraining.net/,One and two-day seminars and workshops for IT Professionals.
Seattle Language Academy,Education,(206) 325-4109,126 NW Canel Street #10,Seattle,9810,http://www.sealang.com,Call for information
Seattle University,Education,(206) 296-2000,900 Broadway,Seattle,981,http://www.seattleu.edu,"Title IV Code: 003790. Programs Offered: Accounting, Business Administration--Accounting, Professional Accounting, Anthropology, Applied Mathematics"
Check Ride Drivers Training Services,Commercial Driving,(425) 136,32 NE 177th Place,Woodinville,W,http://www.check-ride.com,"Commercial Driving: Commercial Truck Driver (CDL Class A), Commercial Truck Driver (CDL Class B)"
Court Reporting Institute and Agency,Education,(206) 363-8300,929 N 130th Street Ste 2,Seattle,9813,,Title IV Code: 030522
Pacific Maritime Institute (PMI),Maritime Training,(888) 893-7829,1729 Alaskan Way South,Seattle,981,http://www.mates.org,Ship Officers training programs available
Metropolitan Pilates Instructor Training Program,Fitness and Wellness,(206) 525-9900,2688 NE 49th Street,Seattle,981,http://www.metropolitanpilates.com,Exercise Science - Pilates Instructor Training Program
Bon Vivant School of Cooking,Culinary Arts,(206) 525-7537,4925 NE 86th Street,Seattle,9811,http://www.bon-vivant.com/,Call for information
"Cortiva Institute - Seattle, School of Massage Therapy",Massage Therapy,(206) 282-1233,160 Roy Street,Seattle,9810,http://www.cortiva.com/locations/seattle/,Title IV Code: 030990
BodyMind Academy,Health and Wellness,(425) 635-0145,12623 NE 110th Street,Kirkland,9,http://www.bodymind-academy.com,"Programs Available: Exercise Science, Fitness and Nutrition Consultant, Hypnotherapy, Massage Therapy"
Floral Design Institute,Arts and Crafts,1-800-819-8089,14350 NE 21st Street,Bellevue,98,http://www.floraldesigninstitute.com/,Title IV Code: 026062
Cascadia Community College,Education,(425) 352-8000,18345 Campus Way NE,Bothell,980,http://www.cascadia.ctc.edu/,"Programs Offered: Accounting, Computer Animation, Computer Applications, Computer Network Technology"
A.C.E. Language Institutes,Language Education,(206) 281-2106,319 West Nickerson Street,Seattle,9119,www.cultural.org,Trade School
Central Washington University - Lynnwood,Education,(425) 640-1574,20022 - 68th Avenue,Lynnwood,,http://www.cwu.edu/lynnwood,"Programs Offered: Accounting, Business Administration, Criminal Justice and Law Enforcement, Elementary Education"
Academy for Coach Training,Professional Development,(425) 401-0309,"16301 NE 8th Street, Suite",Bellevue,9,http://www.LYVcoaching.com,Organizational Leadership - Coach Certification Program
Childrens Institute for Learning Difference,Education,(206) 232-8680,4030 86th Ave SE,Mercer Island,W,,"Evaluation services for children with disabilities, including consultation, counseling, educational assessment and placement recommendations."
City of Seattle - Human Services Department - Youth Development and,Education,(206) 386-1042,810 3rd Ave 4th Floor,Seattle,9810,,"GED Program: Provides comprehensive GED and job skills training for Seattle youth, ages 16 - 21. Upward Bound Program: Helps prepare low-income or first-generation Seattle youth for post-secondary education."
City University,Education,(425) 637-1010,11900 NE First Street,Bellevue,9,http://www.cityu.edu,"Programs: Accounting, Business Administration, Business Computer Science, Business Management"
City University - North Seattle,Education,(206) 364-4228,"2150 North 107th, Suite 3",Seattle,981,http://www.cityu.edu,"Programs Offered: Accounting, Business Administration, Finance"
City University - Renton,Education,(425) 204-2000,555 South Renton Village,Renton,980,http://www.cityu.edu,"Programs Offered: Business Administration, Business Computer Science, Clinical Psychology"
